epoch, avg_train_loss, train_eval_score, avg_dev_loss, dev_eval_score
0,0.6637,6630.0,0.5904,10803.5
1,0.5352,3339.0,0.4736,6940.0
2,0.4386,2277.5,0.3845,4562.5
3,0.3631,1345.5,0.3152,3180.5
4,0.3055,926.0,0.2593,2507.5
5,0.2621,984.5,0.2197,1929.5
6,0.2300,742.5,0.1917,1631.0
7,0.2068,170.0,0.1734,1086.0
8,0.1899,223.0,0.1587,1126.5
9,0.1779,144.0,0.1482,850.5
10,0.1691,49.0,0.1413,735.0
11,0.1625,49.0,0.1364,660.0
12,0.1578,44.5,0.1336,557.0
13,0.1542,32.0,0.1299,627.5
14,0.1514,46.5,0.1274,532.5
15,0.1492,65.0,0.1270,496.5
16,0.1474,34.0,0.1259,648.0
17,0.1460,15.0,0.1250,726.5
18,0.1449,44.0,0.1244,783.5
19,0.1438,53.0,0.1236,747.5
20,0.1431,50.5,0.1230,888.5
21,0.1424,54.5,0.1220,1019.5
